layer,LU,FI,EE,V,OP,BS
1382,RESERVE,0,0,D,352.915702,0
1383,RESERVE,0,0,D,0,2
1384,GREENERY,0,0,D,0,0
1388,RESERVE,0,0,G,0,0
1390,RESERVE,0,0,G,42.896431,2
1391,RESERVE,0,0,B,0,0
1392,RESERVE,0,0,B,0,2
1393,RESERVE,0,0,D,0,0
1394,RESERVE,0,0,C,1047.09132,2
1400,GREENERY,0,0,F,0,0
1401,TRANSPORTATION,0,4,F,0,4
1402,TRANSPORTATION,0,1,F,0,0
1403,RESERVE,0,6,F,0,4
1404,RESERVE,0,0,F,0,2
1405,RESERVE,0,0,D,0,0
1406,RESERVE,0,0,C,0,0
1407,RESERVE,0,0,D,0,0
1408,RESERVE,0,0,G,0,0
1409,RESIDENTIAL,0,9,C,6.999114,2
1410,RESIDENTIAL,1,5,B,1183.058876,2
1411,COMMERCIAL,0,95,F,2426.099898,3
1412,RESIDENTIAL,3,0,B,707.903295,2
1413,RESIDENTIAL,0,5,F,0,0
1414,RESIDENTIAL,0,0,C,0,0
1415,RESIDENTIAL,0,0,G,0,0
1416,GREENERY,0,0,D,0,0
1417,GREENERY,0,0,G,0,0
1420,RESERVE,0,0,G,0,0
1421,RESERVE,0,0,G,0,0
1422,RESERVE,0,0,G,25.333574,0
1423,RESERVE,0,0,D,0,0
1424,RESERVE,0,0,D,25.698374,0
1425,RESERVE,0,0,D,0,0
1426,RESERVE,0,0,D,0,0
1427,RESERVE,0,0,G,0,0
1428,RESERVE,0,0,G,0,0
1429,RESERVE,0,0,G,0,0
1430,RESERVE,0,0,G,0,0
1431,RESERVE,0,0,G,0,0
1432,RESERVE,0,0,G,0,0
1433,RESERVE,0,0,G,0,0
1435,RESERVE,0,0,G,0,0
1436,RESERVE,0,0,G,0,0
1437,RESERVE,0,0,G,0,0
1438,RESERVE,0,0,G,0,0
1439,RESERVE,0,0,B,0,0
1440,RESERVE,0,0,B,0,0
1453,RESERVE,0,0,G,0,0
1454,RESERVE,0,0,G,0,0
1458,RESERVE,0,0,D,0,0
1459,RESERVE,0,0,D,0,0
1460,RESERVE,0,0,D,0,0
1461,RESERVE,0,0,D,0,0
1462,RESERVE,0,0,D,0,4
1463,RESERVE,0,0,D,0,0
1464,RESERVE,0,0,E,0,0
1465,RESERVE,0,0,D,0,0
1466,RESERVE,0,0,D,0,0
1467,RESERVE,0,0,G,0,0
1469,RESERVE,0,0,G,0,0
1470,RESERVE,0,0,D,0,0
1471,RESERVE,0,0,B,0,0
1472,RESIDENTIAL,9,27,B,440.621954,6
1473,RESIDENTIAL,7,10,B,596.057001,4
1474,BUSINESS,0,0,B,0,6
1475,BUSINESS,0,0,B,0,0
1476,RESERVE,0,0,D,0,0
1477,RESERVE,0,0,B,0,0
1478,RESERVE,0,0,D,892.476988,0
1479,RESERVE,0,0,F,0,0
1480,RESERVE,0,0,D,0,0
1481,GREENERY,0,0,E,0,0
1482,GREENERY,0,0,E,0,0
1483,GREENERY,0,0,G,0,0
1486,GREENERY,0,0,F,549.108984,0
1487,RESERVE,0,0,D,457.114533,4
1488,RESIDENTIAL,2,16,D,0,6
1489,RESERVE,0,0,D,109.031865,0
1490,RESERVE,0,0,D,1183.224521,2
1491,RESERVE,0,0,D,0,0
1495,RESERVE,0,0,D,0,0
1496,RESERVE,0,0,F,15.622272,0
1497,BUSINESS,0,1,F,380.069845,0
1498,BUSINESS,0,2,B,1047.358792,2
1499,BUSINESS,0,0,F,822.179096,0
1500,RESERVE,0,0,F,352.081165,4
1501,RESERVE,0,0,D,0,0
1502,RESERVE,0,0,C,0,0
1503,RESERVE,0,0,G,1584.149618,0
1504,RESIDENTIAL,0,0,E,0,0
1505,RESIDENTIAL,0,8,F,331.102687,3
1506,RESIDENTIAL,0,22,C,2328.590167,5
1507,RESIDENTIAL,2,13,B,1371.267626,9
1508,RESIDENTIAL,2,31,B,660.304386,8
1509,RESIDENTIAL,3,48,B,1195.37112,2
1510,RESIDENTIAL,0,9,C,14.960921,0
1511,RESIDENTIAL,0,0,D,0,0
1513,GREENERY,0,0,D,0,0
1514,BUSINESS,0,0,G,0,0
1517,GREENERY,0,0,G,0,0
1518,GREENERY,0,0,D,0,0
1519,RESERVE,0,0,D,0,0
